Date,Price
24/02/2025,3.307
25/02/2025,3.287
26/02/2025,3.288
27/02/2025,3.277
28/02/2025,3.243
03/03/2025,3.27
04/03/2025,3.212
05/03/2025,3.18
06/03/2025,3.204
07/03/2025,3.149
10/03/2025,3.152
11/03/2025,3.089
12/03/2025,3.073
13/03/2025,3.08
14/03/2025,3.058
17/03/2025,3.103
18/03/2025,3.132
19/03/2025,3.111
20/03/2025,3.125
21/03/2025,3.122
24/03/2025,3.124
25/03/2025,3.162
26/03/2025,3.175
27/03/2025,3.136
28/03/2025,3.125
31/03/2025,3.057
01/04/2025,3.086
02/04/2025,3.08
03/04/2025,2.979
04/04/2025,2.887
07/04/2025,2.769
08/04/2025,2.833
09/04/2025,2.776
10/04/2025,2.942
11/04/2025,2.88
14/04/2025,2.897
15/04/2025,2.922
16/04/2025,2.905
17/04/2025,2.884
22/04/2025,2.823
23/04/2025,2.943
24/04/2025,2.925
25/04/2025,2.965
28/04/2025,2.98
29/04/2025,2.977
30/04/2025,3
01/05/2025,3.004
02/05/2025,3.046
06/05/2025,3.051
07/05/2025,3.038
08/05/2025,3.058
09/05/2025,3.075
12/05/2025,3.17
13/05/2025,3.154
14/05/2025,3.149
15/05/2025,3.166
16/05/2025,3.181
19/05/2025,3.171
20/05/2025,3.186
21/05/2025,3.174
22/05/2025,3.134
23/05/2025,3.124
27/05/2025,3.105
28/05/2025,3.153
29/05/2025,3.15
30/05/2025,3.156
02/06/2025,3.139
03/06/2025,3.153
04/06/2025,3.168
05/06/2025,3.167
06/06/2025,3.162
09/06/2025,3.181
10/06/2025,3.201
11/06/2025,3.217
12/06/2025,3.183
13/06/2025,3.194
16/06/2025,3.171
17/06/2025,3.195
18/06/2025,3.193
19/06/2025,3.193
20/06/2025,3.176
23/06/2025,3.185
24/06/2025,3.18
25/06/2025,3.21
26/06/2025,3.189
27/06/2025,3.208
30/06/2025,3.225
01/07/2025,3.222
02/07/2025,3.236
03/07/2025,3.255
04/07/2025,3.275
07/07/2025,3.282
08/07/2025,3.279
09/07/2025,3.274
10/07/2025,3.288
11/07/2025,3.308
14/07/2025,3.302
15/07/2025,3.326
16/07/2025,3.319
17/07/2025,3.325
18/07/2025,3.334
21/07/2025,3.332
22/07/2025,3.329
23/07/2025,3.337
24/07/2025,3.36
25/07/2025,3.37
28/07/2025,3.387
29/07/2025,3.399
30/07/2025,3.392
31/07/2025,3.404
01/08/2025,3.397
04/08/2025,3.341
05/08/2025,3.383
06/08/2025,3.374
07/08/2025,3.389
08/08/2025,3.368
11/08/2025,3.383
12/08/2025,3.375
13/08/2025,3.389
14/08/2025,3.392
15/08/2025,3.402
18/08/2025,3.401
19/08/2025,3.407
20/08/2025,3.396
21/08/2025,3.394
22/08/2025,3.404
26/08/2025,3.417
27/08/2025,3.425
28/08/2025,3.416
29/08/2025,3.434
01/09/2025,3.409
02/09/2025,3.435
03/09/2025,3.412
04/09/2025,3.416
05/09/2025,3.437
08/09/2025,3.425
09/09/2025,3.426
10/09/2025,3.446
11/09/2025,3.456
12/09/2025,3.469
15/09/2025,3.464
16/09/2025,3.472
17/09/2025,3.468
18/09/2025,3.468
19/09/2025,3.511
22/09/2025,3.523
23/09/2025,3.534
24/09/2025,3.53
25/09/2025,3.524
26/09/2025,3.527
29/09/2025,3.53
30/09/2025,3.539
01/10/2025,3.544
02/10/2025,3.564
03/10/2025,3.576
06/10/2025,3.584
07/10/2025,3.594
08/10/2025,3.583
09/10/2025,3.612
10/10/2025,3.624
13/10/2025,3.532
14/10/2025,3.569
15/10/2025,3.569
16/10/2025,3.566
17/10/2025,3.538
20/10/2025,3.57
21/10/2025,3.604
22/10/2025,3.62
23/10/2025,3.599
24/10/2025,3.624
27/10/2025,3.654
28/10/2025,3.684
29/10/2025,3.72
30/10/2025,3.72
31/10/2025,3.708
03/11/2025,3.718
04/11/2025,3.721
05/11/2025,3.698
06/11/2025,3.703
07/11/2025,3.66
10/11/2025,3.662
11/11/2025,3.71
12/11/2025,3.73
13/11/2025,3.734
14/11/2025,3.672
17/11/2025,3.666
18/11/2025,3.625
19/11/2025,3.602
20/11/2025,3.637
21/11/2025,3.586
24/11/2025,3.604
25/11/2025,3.662
26/11/2025,3.634
